title,author,avg_rating,rating_count,num_pages,genres,pub_year,url
Lolita,Vladimir Nabokov,3.87,905877,368.0,"Classics, Fiction, Literature",1955.0,https://www.goodreads.com/book/show/7604.Lolita
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1435925,275.0,"Classics, Fiction, Science Fiction",1969.0,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
Water for Elephants,Sara Gruen,4.11,1671374,368.0,"Fiction, Historical Fiction, Romance",2006.0,https://www.goodreads.com/book/show/43641.Water_for_Elephants
The Bell Jar,Sylvia Plath,4.06,1117889,294.0,"Classics, Fiction, Feminism",1963.0,https://www.goodreads.com/book/show/6514.The_Bell_Jar
Matilda,Roald Dahl,4.33,1050634,240.0,"Fiction, Childrens, Classics",1988.0,https://www.goodreads.com/book/show/39988.Matilda
The Girl With the Dragon Tattoo,Stieg Larsson,4.17,3347800,480.0,"Fiction, Mystery, Thriller",2005.0,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo
The Stand,Stephen King,4.35,805505,1152.0,"Horror, Fiction, Fantasy",1978.0,https://www.goodreads.com/book/show/149267.The_Stand
Catch-22,Joseph Heller,3.99,865940,453.0,"Classics, Fiction, Historical Fiction",1961.0,https://www.goodreads.com/book/show/168668.Catch_22
The Adventures of Sherlock Holmes,Arthur Conan Doyle,4.3,317731,389.0,"Classics, Mystery, Fiction",1892.0,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
The Pillars of the Earth,Ken Follett,4.34,801476,976.0,"Historical Fiction, Fiction, Historical",1989.0,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
Watership Down,Richard Adams,4.09,495999,478.0,"Classics, Fiction, Fantasy",1972.0,https://www.goodreads.com/book/show/76620.Watership_Down
Rebecca,Daphne du Maurier,4.25,684596,449.0,"Classics, Fiction, Mystery",1938.0,https://www.goodreads.com/book/show/17899948-rebecca
Great Expectations,Charles Dickens,3.8,849775,544.0,"Classics, Fiction, Literature",1861.0,https://www.goodreads.com/book/show/2623.Great_Expectations
The Color Purple,Alice Walker,4.27,729196,287.0,"Fiction, Historical Fiction, Feminism",1982.0,https://www.goodreads.com/book/show/52892857-the-color-purple
Outlander,Diana Gabaldon,4.26,1122110,850.0,"Historical Fiction, Romance, Fantasy",1991.0,https://www.goodreads.com/book/show/10964.Outlander
Anna Karenina,Leo Tolstoy,4.1,894886,964.0,"Classics, Fiction, Romance",1878.0,https://www.goodreads.com/book/show/15823480-anna-karenina
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,761544,325.0,"Classics, Fiction, Psychology",1962.0,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
The Fellowship of the Ring,J.R.R. Tolkien,4.4,3007024,432.0,"Fantasy, Classics, Fiction",1954.0,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
My Sister’s Keeper,Jodi Picoult,4.11,1257693,423.0,"Fiction, Book Club, Chick Lit",2004.0,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper
The Brothers Karamazov,Fyodor Dostoevsky,4.38,362378,796.0,"Fiction, Russia, Classics",1880.0,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov
A Tree Grows in Brooklyn,Betty Smith,4.3,492210,496.0,"Fiction, Historical Fiction, Book Club",1943.0,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
A Clockwork Orange,Anthony Burgess,4.0,747312,240.0,"Fiction, Science Fiction, Dystopia",1962.0,https://www.goodreads.com/book/show/41817486-a-clockwork-orange
To Kill a Mockingbird,Harper Lee,4.26,6598464,323.0,"Historical Fiction, School, Literature",1960.0,https://www.goodreads.com/book/show/2654.To_Kill_a_Mockingbird
The Road,Cormac McCarthy,4.0,983940,241.0,"Fiction, Science Fiction, Dystopia",2006.0,https://www.goodreads.com/book/show/6288.The_Road
The Golden Compass,Philip Pullman,4.03,1584258,399.0,"Fantasy, Young Adult, Fiction",1995.0,https://www.goodreads.com/book/show/119322.The_Golden_Compass
Vampire Academy,Richelle Mead,4.1,669862,332.0,"Fantasy, Young Adult, Vampires",2007.0,https://www.goodreads.com/book/show/345627.Vampire_Academy
Siddhartha,Hermann Hesse,4.08,834356,152.0,"Classics, Fiction, Philosophy",1922.0,https://www.goodreads.com/book/show/52036.Siddhartha
Angela’s Ashes,Frank McCourt,4.15,647451,452.0,"Nonfiction, Memoir, Biography",1996.0,https://www.goodreads.com/book/show/252577.Angela_s_Ashes
Don Quixote,Miguel de Cervantes Saavedra,3.9,293323,1023.0,"Fiction, Classics, Literature",1615.0,https://www.goodreads.com/book/show/3836.Don_Quixote
Harry Potter and the Goblet of Fire,J.K. Rowling,4.57,4014085,752.0,"Fantasy, Fiction, Young Adult",2000.0,https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire
The Old Man and the Sea,Ernest Hemingway,3.81,1245924,96.0,"Classics, Fiction, Literature",1952.0,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
The Poisonwood Bible,Barbara Kingsolver,4.11,773005,546.0,"Fiction, Historical Fiction, Africa",1998.0,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible
And Then There Were None,Agatha Christie,4.28,1513484,264.0,"Mystery, Fiction, Thriller",1939.0,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
The Complete Stories and Poems,Edgar Allan Poe,4.4,289212,821.0,"Classics, Poetry, Horror",1849.0,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems
Interview with the Vampire,Anne Rice,4.02,627421,346.0,"Horror, Fantasy, Fiction",1976.0,https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Atlas Shrugged,Ayn Rand,3.69,400857,1168.0,"Fiction, Classics, Philosophy",1957.0,https://www.goodreads.com/book/show/662.Atlas_Shrugged
Winnie-the-Pooh,A.A. Milne,4.38,387075,161.0,"Classics, Childrens, Fiction",1926.0,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
The Notebook,Nicholas Sparks,4.16,1792860,227.0,"Romance, Fiction, Chick Lit",1996.0,https://www.goodreads.com/book/show/33648131-the-notebook
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.58,3520213,672.0,"Fantasy, Fiction, Young Adult",2005.0,https://www.goodreads.com/book/show/58613345-harry-potter-and-the-half-blood-prince
Fahrenheit 451,Ray Bradbury,3.97,2662789,158.0,"Classics, Fiction, Science Fiction",1953.0,https://www.goodreads.com/book/show/4381.Fahrenheit_451
The Shining,Stephen King,4.28,1628341,497.0,"Horror, Fiction, Thriller",1977.0,https://www.goodreads.com/book/show/11588.The_Shining
"Moby-Dick or, The Whale",Herman Melville,3.56,596312,720.0,"Fiction, Literature, Adventure",1851.0,https://www.goodreads.com/book/show/153747.Moby_Dick_or_The_Whale
A Prayer for Owen Meany,John Irving,4.24,330278,637.0,"Fiction, Classics, Book Club",1989.0,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany
The Stranger,Albert Camus,4.03,1277897,123.0,"Literature, French Literature, School",1942.0,https://www.goodreads.com/book/show/49552.The_Stranger
Clockwork Angel,Cassandra Clare,4.31,861023,479.0,"Fantasy, Young Adult, Romance",2010.0,https://www.goodreads.com/book/show/7171637-clockwork-angel
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.43,4287803,352.0,"Fantasy, Fiction, Young Adult",1998.0,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
It,Stephen King,4.24,1211100,1184.0,"Horror, Fiction, Thriller",1986.0,https://www.goodreads.com/book/show/830502.It
The Secret Life of Bees,Sue Monk Kidd,4.1,1329985,302.0,"Fiction, Historical Fiction, Book Club",2001.0,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.29,4297378,366.0,"Fiction, Classics, Adventure",1937.0,https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
The Red Tent,Anita Diamant,4.2,619572,324.0,"Historical Fiction, Fiction, Book Club",1997.0,https://www.goodreads.com/book/show/4989.The_Red_Tent
The Metamorphosis,Franz Kafka,3.89,1300261,201.0,"Classics, Fiction, Fantasy",1915.0,https://www.goodreads.com/book/show/485894.The_Metamorphosis
The Name of the Wind,Patrick Rothfuss,4.52,1037691,662.0,"Fantasy, Fiction, Epic Fantasy",2007.0,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
A Story of Yesterday,Sergio Cobo,4.53,15478,70.0,"Thriller, Mystery, Spanish Literature",2014.0,https://www.goodreads.com/book/show/58913358-a-story-of-yesterday
The Master and Margarita,Mikhail Bulgakov,4.29,392999,372.0,"Fiction, Russia, Fantasy",1967.0,https://www.goodreads.com/book/show/117833.The_Master_and_Margarita
The Count of Monte Cristo,Alexandre Dumas,4.31,977875,1276.0,"Classics, Fiction, Historical Fiction",1846.0,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo
Eragon,Christopher Paolini,3.96,1883503,503.0,"Fantasy, Young Adult, Fiction",2002.0,https://www.goodreads.com/book/show/113436.Eragon
The Last Olympian,Rick Riordan,4.55,1099273,381.0,"Fantasy, Young Adult, Mythology",2009.0,https://www.goodreads.com/book/show/4556058-the-last-olympian
The Very Hungry Caterpillar,Eric Carle,4.34,533777,26.0,"Picture Books, Childrens, Fiction",1969.0,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar
Looking for Alaska,John Green,3.96,1699704,221.0,"Young Adult, Fiction, Contemporary",2005.0,https://www.goodreads.com/book/show/99561.Looking_for_Alaska
Middlesex,Jeffrey Eugenides,4.04,653689,529.0,"Fiction, Historical Fiction, Book Club",2002.0,https://www.goodreads.com/book/show/2187.Middlesex
Charlie and the Chocolate Factory,Roald Dahl,4.17,898300,176.0,"Fiction, Fantasy, Childrens",1964.0,https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
The Adventures of Tom Sawyer,Mark Twain,3.92,986207,244.0,"Fiction, Classics, Adventure",1876.0,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.24,3012864,206.0,"Fantasy, Fiction, Young Adult",1950.0,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Shadow of the Wind,Carlos Ruiz Zafón,4.3,686593,487.0,"Fiction, Historical Fiction, Mystery",2001.0,https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1552996,226.0,"Fiction, Mystery, Young Adult",2003.0,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,4.19,1131327,210.0,"Nonfiction, Memoir, Biography",1997.0,https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie
The Unbearable Lightness of Being,Milan Kundera,4.11,515869,314.0,"Fiction, Philosophy, Literature",1984.0,https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being
Holes,Louis Sachar,4.01,1312812,272.0,"Young Adult, Fiction, Middle Grade",1998.0,https://www.goodreads.com/book/show/38709.Holes
The Name of the Rose,Umberto Eco,4.14,383460,552.0,"Fiction, Historical Fiction, Mystery",1980.0,https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose
On the Road,Jack Kerouac,3.61,433569,307.0,"Fiction, Travel, Literature",1957.0,https://www.goodreads.com/book/show/70401.On_the_Road
Six of Crows,Leigh Bardugo,4.47,1078851,480.0,"Fantasy, Young Adult, Fiction",2015.0,https://www.goodreads.com/book/show/23437156-six-of-crows
Where the Red Fern Grows,Wilson Rawls,4.12,429342,272.0,"Classics, Fiction, Young Adult",1961.0,https://www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows
Perfume: The Story of a Murderer,Patrick Süskind,4.04,520445,263.0,"Fiction, Classics, Historical Fiction",1985.0,https://www.goodreads.com/book/show/343.Perfume
The Godfather,Mario Puzo,4.4,447720,448.0,"Fiction, Classics, Crime",1969.0,https://www.goodreads.com/book/show/22034.The_Godfather
In Cold Blood,Truman Capote,4.09,702512,343.0,"Nonfiction, Classics, True Crime",1966.0,https://www.goodreads.com/book/show/168642.In_Cold_Blood
The Girl Who Played With Fire,Stieg Larsson,4.26,959613,503.0,"Fiction, Mystery, Thriller",2006.0,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire
The Scarlet Letter,Nathaniel Hawthorne,3.44,896263,279.0,"Fiction, Historical Fiction, School",1850.0,https://www.goodreads.com/book/show/12296.The_Scarlet_Letter
Fight Club,Chuck Palahniuk,4.18,623874,224.0,"Fiction, Classics, Thriller",1996.0,https://www.goodreads.com/book/show/36236124-fight-club
American Gods,Neil Gaiman,4.1,972678,635.0,"Fantasy, Fiction, Mythology",2001.0,https://www.goodreads.com/book/show/30165203-american-gods
The Five People You Meet in Heaven,Mitch Albom,4.0,770950,196.0,"Fiction, Contemporary, Inspirational",2003.0,https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven
Watchmen,Alan Moore,4.39,581302,416.0,"Graphic Novels, Fiction, Science Fiction",1987.0,https://www.goodreads.com/book/show/472331.Watchmen
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.08,164804,798.0,"Poetry, Fiction, Literature",1320.0,https://www.goodreads.com/book/show/6656.The_Divine_Comedy
All Quiet on the Western Front,Erich Maria Remarque,4.1,496446,296.0,"Classics, Fiction, Historical Fiction",1928.0,https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front
The Cat in the Hat,Dr. Seuss,4.19,569945,61.0,"Childrens, Picture Books, Fiction",1957.0,https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,801872,491.0,"Fantasy, Fiction, Humor",1990.0,https://www.goodreads.com/book/show/12067.Good_Omens
Catching Fire,Suzanne Collins,4.34,3919818,391.0,"Young Adult, Fiction, Fantasy",2009.0,https://www.goodreads.com/book/show/6148028-catching-fire
The Little House Collection,Laura Ingalls Wilder,4.36,155844,2700.0,"Classics, Historical Fiction, Childrens",1971.0,https://www.goodreads.com/book/show/114345.The_Little_House_Collection
Lonesome Dove,Larry McMurtry,4.56,215355,960.0,"Fiction, Historical Fiction, Westerns",1985.0,https://www.goodreads.com/book/show/256008.Lonesome_Dove
"Hush, Hush",Becca Fitzpatrick,3.92,731505,391.0,"Fantasy, Young Adult, Romance",2009.0,https://www.goodreads.com/book/show/6339664-hush-hush
The Song of Achilles,Madeline Miller,4.31,1798654,408.0,"Fantasy, Historical Fiction, Romance",2011.0,https://www.goodreads.com/book/show/13623848-the-song-of-achilles
Peter Pan,J.M. Barrie,4.03,363551,155.0,"Classics, Fantasy, Fiction",1911.0,https://www.goodreads.com/book/show/34268.Peter_Pan
Gone Girl,Gillian Flynn,4.14,3316438,415.0,"Fiction, Mystery, Thriller",2012.0,https://www.goodreads.com/book/show/19288043-gone-girl
The Titan’s Curse,Rick Riordan,4.37,1161229,352.0,"Fantasy, Young Adult, Mythology",2007.0,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse
The Elephant Tree,R.D. Ronald,3.79,31860,252.0,"Thriller, Mystery, Fiction",2010.0,https://www.goodreads.com/book/show/9293020-the-elephant-tree
The Battle of the Labyrinth,Rick Riordan,4.42,1172676,361.0,"Fantasy, Young Adult, Mythology",2008.0,https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth
Love in the Time of Cholera,Gabriel García Márquez,3.94,530449,348.0,"Fiction, Historical Fiction, Magical Realism",1985.0,https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera
The Secret History,Donna Tartt,4.16,917899,559.0,"Fiction, Dark Academia, Mystery",1992.0,https://www.goodreads.com/book/show/29044.The_Secret_History
Insurgent,Veronica Roth,3.97,1581550,525.0,"Young Adult, Dystopia, Fantasy",2012.0,https://www.goodreads.com/book/show/11735983-insurgent
The Addiction Manifesto,Jerry Weaver,4.76,1241,178.0,"Nonfiction, Self Help, Psychology",2018.0,https://www.goodreads.com/book/show/58572970-the-addiction-manifesto
A Walk to Remember,Nicholas Sparks,4.2,834028,215.0,"Romance, Fiction, Contemporary",1999.0,https://www.goodreads.com/book/show/35545737-a-walk-to-remember
The Sea of Monsters,Rick Riordan,4.24,1297126,279.0,"Fantasy, Young Adult, Mythology",2006.0,https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters
Clockwork Princess,Cassandra Clare,4.55,466359,567.0,"Fantasy, Young Adult, Romance",2013.0,https://www.goodreads.com/book/show/18335634-clockwork-princess
The Thorn Birds,Colleen McCullough,4.25,359168,692.0,"Fiction, Historical Fiction, Romance",1977.0,https://www.goodreads.com/book/show/3412.The_Thorn_Birds
